what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362032798718
java.specification.version,sysinfo,,,"1.6",1362032798718
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362032798718
java.version,sysinfo,,,"1.6.0_21",1362032798718
java.vm.info,sysinfo,,,"mixed mode, sharing",1362032798718
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362032798718
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362032798718
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362032798718
java.vm.specification.version,sysinfo,,,"1.0",1362032798718
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1362032798718
java.vm.version,sysinfo,,,"17.0-b17",1362032798718
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1362032799139
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1362032799747
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1362032799810
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1362032799935
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1362032800761
started,bundle,org.tigris.subversion.subclipse.core,1.0.7,"org.tigris.subversion.subclipse.core",1362032804193
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1362032804349
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1362032807703
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1362032807750
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1362032807828
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1362032811900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362032829809
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036154607
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1362036174476
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036186980
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036414060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036420778
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036441943
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036444796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036603597
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1362036609628
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362036613174
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037175863
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037177133
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037290699
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037296194
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037311510
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037314116
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037401483
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1362037424603
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362037430010
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039243326
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039248542
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039265689
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362039266185
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362039266230
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1362039266231
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1362039274009
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039274573
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039281308
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362039281467
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362039281500
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1362039281500
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1362039323640
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1362039323911
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1362039324144
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1362039325171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039354878
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362039575694
